,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
68,20200408,jquery.com,https://jquery.com/,text/html,text/html,en,"jQuery jQuery jQuery UI jQuery Mobile Sizzle QUnit Plugins Contribute CLA Style Guides Bug Triage Code Documentation Web Sites Events Support Learning Center IRC/Chat Forums Stack Overflow Commercial Support JS Foundation Join Members Leadership Conduct Donate jQuery Download API Documentation Blog Plugins Browser Support search Search jQuery Download jQuery v3.4.1 The 1.x and 2.x branches no longer receive patches. View Source on GitHub → How jQuery Works → Lightweight Footprint Only 30kB minified and gzipped. Can also be included as an AMD module CSS3 Compliant Supports CSS3 selectors to find elements as well as in style property manipulation Cross-Browser Chrome, Edge, Firefox, IE, Safari, Android, iOS, and more What is jQuery? jQuery is a fast, small, and feature-rich JavaScript library. It makes things like HTML document traversal and manipulation, event handling, animation, and Ajax much simpler with an easy-to-use API that works across a multitude of browsers. With a combination of versatility and extensibility, jQuery has changed the way that millions of people write JavaScript. Other Related Projects jQueryUI jQuery Mobile QUnit Sizzle Resources jQuery Core API Documentation jQuery Learning Center jQuery Blog Contribute to jQuery About the jQuery Foundation Browse or Submit jQuery Bugs A Brief Look DOM Traversal and Manipulation Get the <button> element with the class 'continue' and change its HTML to 'Next Step...' 1 $( ""button.continue"" ).html( ""Next Step..."" ) Event Handling Show the #banner-message element that is hidden with display:none in its CSS when any button in #button-container is clicked. 1 2 3 4 var hiddenBox = $( ""#banner-message"" ); $( ""#button-container button"" ).on( ""click"", function( event ) {   hiddenBox.show(); }); Ajax Call a local script on the server /api/getWeather with the query parameter zipcode=97201 and replace the element #weather-temp's html with the returned text. 1 2 3 4 5 6 7 8 9 $.ajax({   url: ""/api/getWeather"",   data: {     zipcode: 97201   },   success: function( result ) {     $( ""#weather-temp"" ).html( ""<strong>"" + result + ""</strong> degrees"" );   } }); Books Learning jQuery Fourth Edition Karl Swedberg and Jonathan Chaffer jQuery in Action Bear Bibeault, Yehuda Katz, and Aurelio De Rosa jQuery Succinctly Cody Lindley Learning Center Forum API Twitter IRC GitHub Copyright 2020 The jQuery Foundation. jQuery License Web hosting by Digital Ocean | CDN by StackPath"
9056,20200417,jquery.com,https://jquery.com/,text/html,text/html,en,"jQuery jQuery jQuery UI jQuery Mobile Sizzle QUnit Plugins Contribute CLA Style Guides Bug Triage Code Documentation Web Sites Events Support Learning Center IRC/Chat Forums Stack Overflow Commercial Support JS Foundation Join Members Leadership Conduct Donate jQuery Download API Documentation Blog Plugins Browser Support search Search jQuery Download jQuery v3.5.0 The 1.x and 2.x branches no longer receive patches. View Source on GitHub → How jQuery Works → Lightweight Footprint Only 30kB minified and gzipped. Can also be included as an AMD module CSS3 Compliant Supports CSS3 selectors to find elements as well as in style property manipulation Cross-Browser Chrome, Edge, Firefox, IE, Safari, Android, iOS, and more What is jQuery? jQuery is a fast, small, and feature-rich JavaScript library. It makes things like HTML document traversal and manipulation, event handling, animation, and Ajax much simpler with an easy-to-use API that works across a multitude of browsers. With a combination of versatility and extensibility, jQuery has changed the way that millions of people write JavaScript. Other Related Projects jQueryUI jQuery Mobile QUnit Sizzle Resources jQuery Core API Documentation jQuery Learning Center jQuery Blog Contribute to jQuery About the jQuery Foundation Browse or Submit jQuery Bugs A Brief Look DOM Traversal and Manipulation Get the <button> element with the class 'continue' and change its HTML to 'Next Step...' 1 $( ""button.continue"" ).html( ""Next Step..."" ) Event Handling Show the #banner-message element that is hidden with display:none in its CSS when any button in #button-container is clicked. 1 2 3 4 var hiddenBox = $( ""#banner-message"" ); $( ""#button-container button"" ).on( ""click"", function( event ) {   hiddenBox.show(); }); Ajax Call a local script on the server /api/getWeather with the query parameter zipcode=97201 and replace the element #weather-temp's html with the returned text. 1 2 3 4 5 6 7 8 9 $.ajax({   url: ""/api/getWeather"",   data: {     zipcode: 97201   },   success: function( result ) {     $( ""#weather-temp"" ).html( ""<strong>"" + result + ""</strong> degrees"" );   } }); Books Learning jQuery Fourth Edition Karl Swedberg and Jonathan Chaffer jQuery in Action Bear Bibeault, Yehuda Katz, and Aurelio De Rosa jQuery Succinctly Cody Lindley Learning Center Forum API Twitter IRC GitHub Copyright 2020 The jQuery Foundation. jQuery License Web hosting by Digital Ocean | CDN by StackPath"
9822,20200424,jquery.com,https://jquery.com/,text/html,text/html,en,"jQuery jQuery jQuery UI jQuery Mobile Sizzle QUnit Plugins Contribute CLA Style Guides Bug Triage Code Documentation Web Sites Events Support Learning Center IRC/Chat Forums Stack Overflow Commercial Support JS Foundation Join Members Leadership Conduct Donate jQuery Download API Documentation Blog Plugins Browser Support search Search jQuery Download jQuery v3.5.0 The 1.x and 2.x branches no longer receive patches. View Source on GitHub → How jQuery Works → Lightweight Footprint Only 30kB minified and gzipped. Can also be included as an AMD module CSS3 Compliant Supports CSS3 selectors to find elements as well as in style property manipulation Cross-Browser Chrome, Edge, Firefox, IE, Safari, Android, iOS, and more What is jQuery? jQuery is a fast, small, and feature-rich JavaScript library. It makes things like HTML document traversal and manipulation, event handling, animation, and Ajax much simpler with an easy-to-use API that works across a multitude of browsers. With a combination of versatility and extensibility, jQuery has changed the way that millions of people write JavaScript. Other Related Projects jQueryUI jQuery Mobile QUnit Sizzle Resources jQuery Core API Documentation jQuery Learning Center jQuery Blog Contribute to jQuery About the jQuery Foundation Browse or Submit jQuery Bugs A Brief Look DOM Traversal and Manipulation Get the <button> element with the class 'continue' and change its HTML to 'Next Step...' 1 $( ""button.continue"" ).html( ""Next Step..."" ) Event Handling Show the #banner-message element that is hidden with display:none in its CSS when any button in #button-container is clicked. 1 2 3 4 var hiddenBox = $( ""#banner-message"" ); $( ""#button-container button"" ).on( ""click"", function( event ) {   hiddenBox.show(); }); Ajax Call a local script on the server /api/getWeather with the query parameter zipcode=97201 and replace the element #weather-temp's html with the returned text. 1 2 3 4 5 6 7 8 9 $.ajax({   url: ""/api/getWeather"",   data: {     zipcode: 97201   },   success: function( result ) {     $( ""#weather-temp"" ).html( ""<strong>"" + result + ""</strong> degrees"" );   } }); Books Learning jQuery Fourth Edition Karl Swedberg and Jonathan Chaffer jQuery in Action Bear Bibeault, Yehuda Katz, and Aurelio De Rosa jQuery Succinctly Cody Lindley Learning Center Forum API Twitter IRC GitHub Copyright 2020 The jQuery Foundation. jQuery License Web hosting by Digital Ocean | CDN by StackPath"
15449,20200504,jquery.com,https://jquery.com/,text/html,,,
20410,20200515,jquery.com,https://jquery.com/,text/html,text/html,en,"jQuery jQuery jQuery UI jQuery Mobile Sizzle QUnit Plugins Contribute CLA Style Guides Bug Triage Code Documentation Web Sites Events Support Learning Center IRC/Chat Forums Stack Overflow Commercial Support JS Foundation Join Members Leadership Conduct Donate jQuery Download API Documentation Blog Plugins Browser Support search Search jQuery Download jQuery v3.5.1 The 1.x and 2.x branches no longer receive patches. View Source on GitHub → How jQuery Works → Lightweight Footprint Only 30kB minified and gzipped. Can also be included as an AMD module CSS3 Compliant Supports CSS3 selectors to find elements as well as in style property manipulation Cross-Browser Chrome, Edge, Firefox, IE, Safari, Android, iOS, and more What is jQuery? jQuery is a fast, small, and feature-rich JavaScript library. It makes things like HTML document traversal and manipulation, event handling, animation, and Ajax much simpler with an easy-to-use API that works across a multitude of browsers. With a combination of versatility and extensibility, jQuery has changed the way that millions of people write JavaScript. Other Related Projects jQueryUI jQuery Mobile QUnit Sizzle Resources jQuery Core API Documentation jQuery Learning Center jQuery Blog Contribute to jQuery About the jQuery Foundation Browse or Submit jQuery Bugs A Brief Look DOM Traversal and Manipulation Get the <button> element with the class 'continue' and change its HTML to 'Next Step...' 1 $( ""button.continue"" ).html( ""Next Step..."" ) Event Handling Show the #banner-message element that is hidden with display:none in its CSS when any button in #button-container is clicked. 1 2 3 4 var hiddenBox = $( ""#banner-message"" ); $( ""#button-container button"" ).on( ""click"", function( event ) {   hiddenBox.show(); }); Ajax Call a local script on the server /api/getWeather with the query parameter zipcode=97201 and replace the element #weather-temp's html with the returned text. 1 2 3 4 5 6 7 8 9 $.ajax({   url: ""/api/getWeather"",   data: {     zipcode: 97201   },   success: function( result ) {     $( ""#weather-temp"" ).html( ""<strong>"" + result + ""</strong> degrees"" );   } }); Books Learning jQuery Fourth Edition Karl Swedberg and Jonathan Chaffer jQuery in Action Bear Bibeault, Yehuda Katz, and Aurelio De Rosa jQuery Succinctly Cody Lindley Learning Center Forum API Twitter IRC GitHub Copyright 2020 The jQuery Foundation. jQuery License Web hosting by Digital Ocean | CDN by StackPath"
48852,20200522,jquery.com,https://jquery.com/,text/html,,,
52373,20200529,jquery.com,https://jquery.com/,text/html,,,
67099,20200529,jquery.com,https://jquery.com/,text/html,,,
74457,20200605,jquery.com,https://jquery.com/,text/html,,,
83890,20200612,jquery.com,https://jquery.com/,text/html,,,
94303,20200619,jquery.com,https://jquery.com/,text/html,,,
105540,20200626,jquery.com,https://jquery.com/,text/html,,,
116080,20200703,jquery.com,https://jquery.com/,text/html,text/html,en,"jQuery jQuery jQuery UI jQuery Mobile Sizzle QUnit Plugins Contribute CLA Style Guides Bug Triage Code Documentation Web Sites Events Support Learning Center IRC/Chat Forums Stack Overflow Commercial Support JS Foundation Join Members Leadership Conduct Donate #BlackLivesMatter To Donate, see this list of organizations to support from Reclaim the Block jQuery Download API Documentation Blog Plugins Browser Support search Search jQuery Download jQuery v3.5.1 The 1.x and 2.x branches no longer receive patches. View Source on GitHub → How jQuery Works → Lightweight Footprint Only 30kB minified and gzipped. Can also be included as an AMD module CSS3 Compliant Supports CSS3 selectors to find elements as well as in style property manipulation Cross-Browser Chrome, Edge, Firefox, IE, Safari, Android, iOS, and more What is jQuery? jQuery is a fast, small, and feature-rich JavaScript library. It makes things like HTML document traversal and manipulation, event handling, animation, and Ajax much simpler with an easy-to-use API that works across a multitude of browsers. With a combination of versatility and extensibility, jQuery has changed the way that millions of people write JavaScript. Other Related Projects jQueryUI jQuery Mobile QUnit Sizzle Resources jQuery Core API Documentation jQuery Learning Center jQuery Blog Contribute to jQuery About the jQuery Foundation Browse or Submit jQuery Bugs A Brief Look DOM Traversal and Manipulation Get the <button> element with the class 'continue' and change its HTML to 'Next Step...' 1 $( ""button.continue"" ).html( ""Next Step..."" ) Event Handling Show the #banner-message element that is hidden with display:none in its CSS when any button in #button-container is clicked. 1 2 3 4 var hiddenBox = $( ""#banner-message"" ); $( ""#button-container button"" ).on( ""click"", function( event ) {   hiddenBox.show(); }); Ajax Call a local script on the server /api/getWeather with the query parameter zipcode=97201 and replace the element #weather-temp's html with the returned text. 1 2 3 4 5 6 7 8 9 $.ajax({   url: ""/api/getWeather"",   data: {     zipcode: 97201   },   success: function( result ) {     $( ""#weather-temp"" ).html( ""<strong>"" + result + ""</strong> degrees"" );   } }); Books Learning jQuery Fourth Edition Karl Swedberg and Jonathan Chaffer jQuery in Action Bear Bibeault, Yehuda Katz, and Aurelio De Rosa jQuery Succinctly Cody Lindley Learning Center Forum API Twitter IRC GitHub Copyright 2020 The jQuery Foundation. jQuery License Web hosting by Digital Ocean | CDN by StackPath"
126324,20200710,jquery.com,https://jquery.com/,text/html,,,
136743,20200717,jquery.com,https://jquery.com/,text/html,text/html,en,"jQuery jQuery jQuery UI jQuery Mobile Sizzle QUnit Plugins Contribute CLA Style Guides Bug Triage Code Documentation Web Sites Events Support Learning Center IRC/Chat Forums Stack Overflow Commercial Support JS Foundation Join Members Leadership Conduct Donate #BlackLivesMatter To Donate, see this list of organizations to support from Reclaim the Block jQuery Download API Documentation Blog Plugins Browser Support search Search jQuery Download jQuery v3.5.1 The 1.x and 2.x branches no longer receive patches. View Source on GitHub → How jQuery Works → Lightweight Footprint Only 30kB minified and gzipped. Can also be included as an AMD module CSS3 Compliant Supports CSS3 selectors to find elements as well as in style property manipulation Cross-Browser Chrome, Edge, Firefox, IE, Safari, Android, iOS, and more What is jQuery? jQuery is a fast, small, and feature-rich JavaScript library. It makes things like HTML document traversal and manipulation, event handling, animation, and Ajax much simpler with an easy-to-use API that works across a multitude of browsers. With a combination of versatility and extensibility, jQuery has changed the way that millions of people write JavaScript. Other Related Projects jQueryUI jQuery Mobile QUnit Sizzle Resources jQuery Core API Documentation jQuery Learning Center jQuery Blog Contribute to jQuery About the jQuery Foundation Browse or Submit jQuery Bugs A Brief Look DOM Traversal and Manipulation Get the <button> element with the class 'continue' and change its HTML to 'Next Step...' 1 $( ""button.continue"" ).html( ""Next Step..."" ) Event Handling Show the #banner-message element that is hidden with display:none in its CSS when any button in #button-container is clicked. 1 2 3 4 var hiddenBox = $( ""#banner-message"" ); $( ""#button-container button"" ).on( ""click"", function( event ) {   hiddenBox.show(); }); Ajax Call a local script on the server /api/getWeather with the query parameter zipcode=97201 and replace the element #weather-temp's html with the returned text. 1 2 3 4 5 6 7 8 9 $.ajax({   url: ""/api/getWeather"",   data: {     zipcode: 97201   },   success: function( result ) {     $( ""#weather-temp"" ).html( ""<strong>"" + result + ""</strong> degrees"" );   } }); Books Learning jQuery Fourth Edition Karl Swedberg and Jonathan Chaffer jQuery in Action Bear Bibeault, Yehuda Katz, and Aurelio De Rosa jQuery Succinctly Cody Lindley Learning Center Forum API Twitter IRC GitHub Copyright 2020 The jQuery Foundation. jQuery License Web hosting by Digital Ocean | CDN by StackPath"
147208,20200724,jquery.com,https://jquery.com/,text/html,,,
158072,20200731,jquery.com,https://jquery.com/,text/html,,,
169141,20200807,jquery.com,https://jquery.com/,text/html,,,
180036,20200814,jquery.com,https://jquery.com/,text/html,,,
191102,20200821,jquery.com,https://jquery.com/,text/html,,,
203903,20200828,jquery.com,https://jquery.com/,text/html,,,
